createdat,topic,sentimentscore,eventprocessedutctime,partitionid,eventenqueuedutctime
2016-10-09T14:20:00,google,2,2016-10-09T14:29:23.265267Z,3,2016-10-09T14:20:56.436Z
2016-10-09T14:20:00,amazon,2,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:20:57.127Z
2016-10-09T14:20:00,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:20:57.801Z
2016-10-09T14:20:00,XBox,2,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:20:58.396Z
2016-10-09T14:20:01,Microsoft,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:20:59.052Z
2016-10-09T14:20:00,bigdata,2,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:20:59.709Z
2016-10-09T14:20:00,google,2,2016-10-09T14:29:23.265267Z,3,2016-10-09T14:21:00.298Z
2016-10-09T14:20:01,amazon,2,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:21:00.991Z
2016-10-09T14:20:01,google,2,2016-10-09T14:29:23.265267Z,3,2016-10-09T14:21:01.596Z
2016-10-09T14:20:01,amazon,2,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:21:02.288Z
2016-10-09T14:20:01,amazon,2,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:21:02.929Z
2016-10-09T14:20:01,google,2,2016-10-09T14:29:23.265267Z,3,2016-10-09T14:21:03.52Z
2016-10-09T14:20:01,amazon,2,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:21:04.195Z
2016-10-09T14:20:01,XBox,4,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:21:04.852Z
2016-10-09T14:20:01,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:05.523Z
2016-10-09T14:20:01,amazon,2,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:21:06.195Z
2016-10-09T14:20:01,amazon,2,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:21:06.914Z
2016-10-09T14:20:01,amazon,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:07.555Z
2016-10-09T14:20:01,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:08.211Z
2016-10-09T14:20:02,google,2,2016-10-09T14:29:23.265267Z,3,2016-10-09T14:21:08.78Z
2016-10-09T14:20:02,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:09.633Z
2016-10-09T14:20:02,XBox,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:10.291Z
2016-10-09T14:20:02,google,2,2016-10-09T14:29:23.265267Z,3,2016-10-09T14:21:10.89Z
2016-10-09T14:20:02,amazon,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:11.557Z
2016-10-09T14:20:01,amazon,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:12.182Z
2016-10-09T14:20:01,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:12.852Z
2016-10-09T14:20:02,amazon,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:13.779Z
2016-10-09T14:20:02,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:14.445Z
2016-10-09T14:20:02,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:15.07Z
2016-10-09T14:20:02,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:15.711Z
2016-10-09T14:20:02,Unknown,4,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:16.352Z
2016-10-09T14:20:02,XBox,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:16.953Z
2016-10-09T14:20:02,google,2,2016-10-09T14:29:23.265267Z,3,2016-10-09T14:21:17.55Z
2016-10-09T14:20:02,amazon,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:18.25Z
2016-10-09T14:20:02,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:19.164Z
2016-10-09T14:20:02,Skype,0,2016-10-09T14:29:23.093372Z,2,2016-10-09T14:21:19.826Z
2016-10-09T14:20:02,google,4,2016-10-09T14:29:23.265267Z,3,2016-10-09T14:21:20.396Z
2016-10-09T14:20:02,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:21.088Z
2016-10-09T14:20:02,cloud,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:21.713Z
2016-10-09T14:20:03,google,2,2016-10-09T14:29:23.265267Z,3,2016-10-09T14:21:22.291Z
2016-10-09T14:20:03,amazon,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:22.949Z
2016-10-09T14:20:03,cloud,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:23.603Z
2016-10-09T14:20:03,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:24.228Z
2016-10-09T14:20:03,Skype,2,2016-10-09T14:29:23.093372Z,2,2016-10-09T14:21:24.873Z
2016-10-09T14:20:03,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:25.51Z
2016-10-09T14:20:03,Skype,2,2016-10-09T14:29:23.093372Z,2,2016-10-09T14:21:26.156Z
2016-10-09T14:20:03,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:26.838Z
2016-10-09T14:20:03,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:27.479Z
2016-10-09T14:20:03,google,2,2016-10-09T14:29:23.265267Z,3,2016-10-09T14:21:28.049Z
2016-10-09T14:20:03,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:28.748Z
2016-10-09T14:20:03,google,2,2016-10-09T14:29:23.265267Z,3,2016-10-09T14:21:29.299Z
2016-10-09T14:20:03,XBox,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:29.989Z
2016-10-09T14:20:03,google,2,2016-10-09T14:29:23.265267Z,3,2016-10-09T14:21:30.661Z
2016-10-09T14:20:03,amazon,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:31.333Z
2016-10-09T14:20:03,cloud,0,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:32.015Z
2016-10-09T14:20:03,Skype,2,2016-10-09T14:29:23.093372Z,2,2016-10-09T14:21:32.728Z
2016-10-09T14:20:03,hacking,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:33.335Z
2016-10-09T14:20:03,amazon,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:33.96Z
2016-10-09T14:20:04,amazon,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:34.59Z
2016-10-09T14:20:04,amazon,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:35.23Z
2016-10-09T14:20:03,google,2,2016-10-09T14:29:23.265267Z,3,2016-10-09T14:21:35.822Z
2016-10-09T14:20:04,amazon,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:36.511Z
2016-10-09T14:20:04,amazon,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:37.138Z
2016-10-09T14:20:04,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:37.813Z
2016-10-09T14:20:04,Skype,2,2016-10-09T14:29:23.093372Z,2,2016-10-09T14:21:38.469Z
2016-10-09T14:20:04,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:39.068Z
2016-10-09T14:20:04,Microsoft,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:39.693Z
2016-10-09T14:20:04,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:40.351Z
2016-10-09T14:20:04,amazon,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:40.94Z
2016-10-09T14:20:04,cloud,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:41.601Z
2016-10-09T14:20:04,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:42.243Z
2016-10-09T14:20:04,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:42.868Z
2016-10-09T14:20:04,amazon,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:43.473Z
2016-10-09T14:20:04,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:44.149Z
2016-10-09T14:20:04,Skype,2,2016-10-09T14:29:23.093372Z,2,2016-10-09T14:21:44.8Z
2016-10-09T14:20:04,google,2,2016-10-09T14:29:23.280882Z,3,2016-10-09T14:21:45.343Z
2016-10-09T14:20:04,amazon,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:46.011Z
2016-10-09T14:20:04,amazon,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:46.667Z
2016-10-09T14:20:04,Unknown,4,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:47.325Z
2016-10-09T14:20:04,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:47.95Z
2016-10-09T14:20:04,Skype,2,2016-10-09T14:29:23.108999Z,2,2016-10-09T14:21:48.604Z
2016-10-09T14:20:04,Skype,2,2016-10-09T14:29:23.108999Z,2,2016-10-09T14:21:49.217Z
2016-10-09T14:20:05,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:49.858Z
2016-10-09T14:20:05,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:50.484Z
